Time,NodeID,Alleles,STATE_MALE
411,1,X,100960
411,1,Y,100960
412,1,X,100905
412,1,Y,100905
413,1,X,100993
413,1,Y,100993
414,1,X,101048
414,1,Y,101048
415,1,X,101107
415,1,Y,101107
416,1,X,100984
416,1,Y,100984
417,1,X,101190
417,1,Y,101190
418,1,X,100790
418,1,Y,100790
419,1,X,100824
419,1,Y,100824
420,1,X,100767
420,1,Y,100767
421,1,X,100732
421,1,Y,100732
422,1,X,100563
422,1,Y,100563
423,1,X,100669
423,1,Y,100669
424,1,X,100721
424,1,Y,100721
425,1,X,100649
425,1,Y,100649
426,1,X,100706
426,1,Y,100706
427,1,X,100706
427,1,Y,100706
428,1,X,100789
428,1,Y,100789
429,1,X,100829
429,1,Y,100829
430,1,X,101048
430,1,Y,101048
431,1,X,101205
431,1,Y,101205
432,1,X,101184
432,1,Y,101184
433,1,X,101139
433,1,Y,101139
434,1,X,101247
434,1,Y,101247
435,1,X,101174
435,1,Y,101174
436,1,X,100908
436,1,Y,100908
437,1,X,100681
437,1,Y,100681
438,1,X,100485
438,1,Y,100485
439,1,X,100485
439,1,Y,100485
440,1,X,100457
440,1,Y,100457
441,1,X,100328
441,1,Y,100328
442,1,X,100538
442,1,Y,100538
443,1,X,100534
443,1,Y,100534
444,1,X,100699
444,1,Y,100699
445,1,X,100689
445,1,Y,100689
446,1,X,100643
446,1,Y,100643
447,1,X,100532
447,1,Y,100532
448,1,X,100462
448,1,Y,100462
449,1,X,100818
449,1,Y,100818
450,1,X,100806
450,1,Y,100806
451,1,X,101138
451,1,Y,101138
452,1,X,101251
452,1,Y,101251
453,1,X,101245
453,1,Y,101245
454,1,X,101171
454,1,Y,101171
455,1,X,100999
455,1,Y,100999
456,1,X,101054
456,1,Y,101054
457,1,X,101111
457,1,Y,101111
458,1,X,100959
458,1,Y,100959
459,1,X,101214
459,1,Y,101214
460,1,X,101157
460,1,Y,101157
461,1,X,101185
461,1,Y,101185
462,1,X,101045
462,1,Y,101045
463,1,X,101163
463,1,Y,101163
464,1,X,100964
464,1,Y,100964
465,1,X,100853
465,1,Y,100853
466,1,X,100947
466,1,Y,100947
467,1,X,100977
467,1,Y,100977
468,1,X,101055
468,1,Y,101055
469,1,X,100709
469,1,Y,100709
470,1,X,101036
470,1,Y,101036
471,1,X,100834
471,1,Y,100834
472,1,X,100654
472,1,Y,100654
473,1,X,100147
473,1,Y,100147
474,1,X,100443
474,1,Y,100443
475,1,X,100135
475,1,Y,100135
476,1,X,100094
476,1,Y,100094
477,1,X,100129
477,1,Y,100129
478,1,X,100153
478,1,Y,100153
479,1,X,100169
479,1,Y,100169
480,1,X,100370
480,1,Y,100370
481,1,X,100285
481,1,Y,100285
482,1,X,100533
482,1,Y,100533
483,1,X,100676
483,1,Y,100676
484,1,X,100641
484,1,Y,100641
485,1,X,100646
485,1,Y,100646
486,1,X,100703
486,1,Y,100703
487,1,X,100844
487,1,Y,100844
488,1,X,100881
488,1,Y,100881
489,1,X,100864
489,1,Y,100864
490,1,X,100921
490,1,Y,100921
491,1,X,100860
491,1,Y,100860
492,1,X,100846
492,1,Y,100846
493,1,X,100734
493,1,Y,100734
494,1,X,100770
494,1,Y,100770
495,1,X,100987
495,1,Y,100987
496,1,X,101277
496,1,Y,101277
497,1,X,101199
497,1,Y,101199
498,1,X,101036
498,1,Y,101036
499,1,X,100859
499,1,Y,100859
500,1,X,100933
500,1,Y,100933
501,1,X,100977
501,1,Y,100977
502,1,X,100817
502,1,Y,100817
503,1,X,100816
503,1,Y,100816
504,1,X,100802
504,1,Y,100802
505,1,X,100715
505,1,Y,100715
506,1,X,100647
506,1,Y,100647
507,1,X,100656
507,1,Y,100656
508,1,X,100873
508,1,Y,100873
