Time,NodeID,Alleles,VectorPopulation
526,1,Y,0
527,1,X,101014
527,1,Y,0
528,1,X,101267
528,1,Y,0
529,1,X,101456
529,1,Y,0
530,1,X,101517
530,1,Y,0
531,1,X,101542
531,1,Y,0
532,1,X,101534
532,1,Y,0
533,1,X,101418
533,1,Y,0
534,1,X,101717
534,1,Y,0
535,1,X,101662
535,1,Y,0
536,1,X,101307
536,1,Y,0
537,1,X,101321
537,1,Y,0
538,1,X,101159
538,1,Y,0
539,1,X,101098
539,1,Y,0
540,1,X,101035
540,1,Y,0
541,1,X,100855
541,1,Y,0
542,1,X,100765
542,1,Y,0
543,1,X,101072
543,1,Y,0
544,1,X,100990
544,1,Y,0
545,1,X,100890
545,1,Y,0
546,1,X,100781
546,1,Y,0
547,1,X,100655
547,1,Y,0
548,1,X,100794
548,1,Y,0
549,1,X,100799
549,1,Y,0
550,1,X,100925
550,1,Y,0
551,1,X,100872
551,1,Y,0
552,1,X,100917
552,1,Y,0
553,1,X,100778
553,1,Y,0
554,1,X,100663
554,1,Y,0
555,1,X,100404
555,1,Y,0
556,1,X,100480
556,1,Y,0
557,1,X,100738
557,1,Y,0
558,1,X,100777
558,1,Y,0
559,1,X,100696
559,1,Y,0
560,1,X,100833
560,1,Y,0
561,1,X,101005
561,1,Y,0
562,1,X,101169
562,1,Y,0
563,1,X,101207
563,1,Y,0
564,1,X,100907
564,1,Y,0
565,1,X,100700
565,1,Y,0
566,1,X,100856
566,1,Y,0
567,1,X,100719
567,1,Y,0
568,1,X,100593
568,1,Y,0
569,1,X,100754
569,1,Y,0
570,1,X,100606
570,1,Y,0
571,1,X,100828
571,1,Y,0
572,1,X,100883
572,1,Y,0
573,1,X,100876
573,1,Y,0
574,1,X,101118
574,1,Y,0
575,1,X,101341
575,1,Y,0
576,1,X,101077
576,1,Y,0
577,1,X,101116
577,1,Y,0
578,1,X,100986
578,1,Y,0
579,1,X,101050
579,1,Y,0
580,1,X,100789
580,1,Y,0
581,1,X,100872
581,1,Y,0
582,1,X,101001
582,1,Y,0
583,1,X,100916
583,1,Y,0
584,1,X,100838
584,1,Y,0
585,1,X,101009
585,1,Y,0
586,1,X,100924
586,1,Y,0
587,1,X,100798
587,1,Y,0
588,1,X,100699
588,1,Y,0
589,1,X,100870
589,1,Y,0
590,1,X,100916
590,1,Y,0
591,1,X,100889
591,1,Y,0
592,1,X,100923
592,1,Y,0
593,1,X,101009
593,1,Y,0
594,1,X,101272
594,1,Y,0
595,1,X,101506
595,1,Y,0
596,1,X,101537
596,1,Y,0
597,1,X,101684
597,1,Y,0
598,1,X,101860
598,1,Y,0
599,1,X,101833
599,1,Y,0
600,1,X,101868
600,1,Y,0
601,1,X,101880
601,1,Y,0
602,1,X,101820
602,1,Y,0
603,1,X,101882
603,1,Y,0
604,1,X,101544
604,1,Y,0
605,1,X,101122
605,1,Y,0
606,1,X,101161
606,1,Y,0
607,1,X,101085
607,1,Y,0
608,1,X,101166
608,1,Y,0
609,1,X,101212
609,1,Y,0
610,1,X,101149
610,1,Y,0
611,1,X,101311
611,1,Y,0
612,1,X,101316
612,1,Y,0
613,1,X,101125
613,1,Y,0
614,1,X,101091
614,1,Y,0
615,1,X,101149
615,1,Y,0
616,1,X,101189
616,1,Y,0
617,1,X,101126
617,1,Y,0
618,1,X,100808
618,1,Y,0
619,1,X,100886
619,1,Y,0
620,1,X,100896
620,1,Y,0
621,1,X,100959
621,1,Y,0
622,1,X,100938
622,1,Y,0
623,1,X,101083
623,1,Y,0
624,1,X,100901
624,1,Y,0
625,1,X,100811
625,1,Y,0
626,1,X,100578
626,1,Y,0
627,1,X,100605
627,1,Y,0
628,1,X,100402
628,1,Y,0
629,1,X,100445
629,1,Y,0
630,1,X,100731
630,1,Y,0
631,1,X,100749
631,1,Y,0
632,1,X,100463
632,1,Y,0
633,1,X,100760
633,1,Y,0
634,1,X,100776
634,1,Y,0
635,1,X,100750
635,1,Y,0
636,1,X,100769
636,1,Y,0
637,1,X,100977
637,1,Y,0
638,1,X,101064
638,1,Y,0
639,1,X,100810
639,1,Y,0
640,1,X,100806
640,1,Y,0
641,1,X,100809
641,1,Y,0
642,1,X,100827
642,1,Y,0
643,1,X,100913
643,1,Y,0
644,1,X,100725
644,1,Y,0
645,1,X,100844
645,1,Y,0
646,1,X,100917
646,1,Y,0
647,1,X,100945
647,1,Y,0
648,1,X,100917
648,1,Y,0
649,1,X,101102
649,1,Y,0
650,1,X,101024
650,1,Y,0
651,1,X,101023
651,1,Y,0
652,1,X,101063
652,1,Y,0
653,1,X,101156
653,1,Y,0
654,1,X,101237
654,1,Y,0
655,1,X,101213
655,1,Y,0
656,1,X,101432
656,1,Y,0
657,1,X,101478
657,1,Y,0
658,1,X,101593
658,1,Y,0
659,1,X,101410
659,1,Y,0
660,1,X,101202
660,1,Y,0
661,1,X,100799
661,1,Y,0
662,1,X,100973
662,1,Y,0
663,1,X,101044
663,1,Y,0
664,1,X,100944
664,1,Y,0
665,1,X,101166
665,1,Y,0
666,1,X,101100
666,1,Y,0
667,1,X,101305
667,1,Y,0
668,1,X,101111
668,1,Y,0
669,1,X,101209
669,1,Y,0
670,1,X,101279
670,1,Y,0
671,1,X,101382
