Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor, VECTOR_WOLBACHIA_FREE, VECTOR_WOLBACHIA_A, VECTOR_WOLBACHIA_B, VECTOR_WOLBACHIA_AB,AvailableHabitat,EggCrowdingCorrection
34,340461476,funestus,1000,3146,0,112,3034,3959,6378,85523,121160,60580,1002,0,0,0,650,0,287,93,0,3146,0,0,0,13945.9,0.121051
34,340461476,gambiae,1000,37957,0,1431,36526,46466,49171,803769,1555720,777860,12082,0,0,0,6756,0,3262,1275,0,37957,0,0,0,128037,0.0866358
35,340461476,arabiensis,1000,36610,0,1487,35123,44264,43868,758556,1564720,782360,6591,0,6682,0,6091,0,3383,663,628,36610,0,0,0,116557,0.0830326
35,340461476,funestus,1000,3295,0,123,3172,4192,6575,89154,132320,66160,1194,0,0,0,553,0,276,128,0,3295,0,0,0,14763.4,0.115103
35,340461476,gambiae,1000,38420,0,1596,36824,47518,44778,844065,1757280,878640,14266,0,0,0,5571,0,3588,1520,0,38420,0,0,0,128283,0.0823009
36,340461476,arabiensis,1000,37237,75,1505,35657,45343,38049,793735,1513600,756800,6186,0,6329,0,5349,0,3473,646,603,37237,0,0,0,115996,0.0744909
36,340461476,funestus,1000,3459,8,131,3320,4431,6774,93474,131880,65940,1110,0,0,0,587,0,304,119,0,3459,0,0,0,14847.4,0.111574
36,340461476,gambiae,1000,39258,69,1619,37570,48637,38056,883519,1627240,813620,12586,0,0,0,5784,0,3640,1306,0,39258,0,0,0,127293,0.0730011
37,340461476,arabiensis,1000,37033,118,1538,35377,45645,33438,826309,1511440,755720,5889,0,5918,0,4545,0,3565,589,595,37033,0,0,0,112157,0.0766356
37,340461476,funestus,1000,3634,12,149,3473,4620,6987,97417,145760,72880,1216,0,0,0,621,0,330,116,0,3634,0,0,0,15264.4,0.112583
37,340461476,gambiae,1000,38742,117,1657,36968,48423,33363,919602,1680200,840100,12990,0,0,0,4529,0,3803,1242,0,38742,0,0,0,123138,0.0782262
38,340461476,arabiensis,1000,36065,157,1532,34376,45067,72896,809780,1865560,932780,6364,18,6455,16,3832,0,3497,631,672,36065,0,0,0,154414,0.0742052
