Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
44,340461476,X-a2:X-a2,2440,0,0,2440,1899,21527,50075,0,0,0,0,0
45,340461476,X-a1:X-a1,2298,0,0,2298,1787,20997,50725,0,0,0,0,0
45,340461476,X-a1:X-a2,2384,0,0,2384,1758,21170,50575,0,0,0,0,0
45,340461476,X-a2:X-a1,2235,0,0,2235,1753,21077,52375,0,0,0,0,0
45,340461476,X-a2:X-a2,2514,0,0,2514,1851,21773,54325,0,0,0,0,0
46,340461476,X-a1:X-a1,2366,0,0,2366,1783,21140,49050,0,0,0,0,0
46,340461476,X-a1:X-a2,2436,0,0,2436,1783,21264,52200,0,0,0,0,0
46,340461476,X-a2:X-a1,2269,0,0,2269,1868,21217,51950,0,0,0,0,0
46,340461476,X-a2:X-a2,2535,0,0,2535,1872,21962,59700,0,0,0,0,0
47,340461476,X-a1:X-a1,2388,0,0,2388,1820,21001,54050,0,0,0,0,0
47,340461476,X-a1:X-a2,2441,0,0,2441,1848,21378,55650,0,0,0,0,0
47,340461476,X-a2:X-a1,2363,0,0,2363,1871,21330,51200,0,0,0,0,0
47,340461476,X-a2:X-a2,2571,0,0,2571,1914,22243,53500,0,0,0,0,0
48,340461476,X-a1:X-a1,2407,0,0,2407,1974,21057,55325,0,0,0,0,0
48,340461476,X-a1:X-a2,2456,0,0,2456,1948,21695,58025,0,0,0,0,0
48,340461476,X-a2:X-a1,2382,0,0,2382,1882,21320,56175,0,0,0,0,0
48,340461476,X-a2:X-a2,2586,0,0,2586,1889,22316,57275,0,0,0,0,0
49,340461476,X-a1:X-a1,2471,0,0,2471,1966,21246,51850,0,0,0,0,0
49,340461476,X-a1:X-a2,2519,0,0,2519,1930,21973,54000,0,0,0,0,0
49,340461476,X-a2:X-a1,2434,0,0,2434,2047,21271,59400,0,0,0,0,0
49,340461476,X-a2:X-a2,2601,0,0,2601,1922,22382,62250,0,0,0,0,0
50,340461476,X-a1:X-a1,2519,0,0,2519,1991,21264,58375,0,0,0,0,0
50,340461476,X-a1:X-a2,2553,0,0,2553,1926,22029,58725,0,0,0,0,0
50,340461476,X-a2:X-a1,2530,0,0,2530,1994,21687,55425,0,0,0,0,0
50,340461476,X-a2:X-a2,2660,0,0,2660,1960,22650,56675,0,0,0,0,0
51,340461476,X-a1:X-a1,2533,0,0,2533,2045,21551,56650,0,0,0,0,0
51,340461476,X-a1:X-a2,2597,0,0,2597,1995,21927,61350,0,0,0,0,0
51,340461476,X-a2:X-a1,2542,0,0,2542,2025,21796,58300,0,0,0,0,0
51,340461476,X-a2:X-a2,2698,0,0,2698,1946,22603,61900,0,0,0,0,0
52,340461476,X-a1:X-a1,2648,0,0,2648,1961,21589,54675,0,0,0,0,0
52,340461476,X-a1:X-a2,2696,0,0,2696,1937,22087,56025,0,0,0,0,0
52,340461476,X-a2:X-a1,2576,0,0,2576,2046,21660,60225,0,0,0,0,0
52,340461476,X-a2:X-a2,2673,0,0,2673,2068,22715,60875,0,0,0,0,0
53,340461476,X-a1:X-a1,2693,0,0,2693,1944,21531,63575,0,0,0,0,0
53,340461476,X-a1:X-a2,2704,0,0,2704,1981,22163,61825,0,0,0,0,0
53,340461476,X-a2:X-a1,2675,0,0,2675,2001,21931,59175,0,0,0,0,0
53,340461476,X-a2:X-a2,2744,0,0,2744,2163,22937,60325,0,0,0,0,0
