Time,NodeID,Alleles,VectorPopulation,STATE_MALE
60,1,Bm,0,0
60,1,Bw,90743,112298
60,1,Ce,0,0
60,1,Cm,0,0
60,1,Cw,90743,112298
60,1,X,90743,112298
60,1,Y,0,112298
61,1,Ad,0,0
61,1,Am,0,0
61,1,Aw,88835,111439
61,1,Bd,0,0
61,1,Bm,0,0
61,1,Bw,88835,111439
61,1,Ce,0,0
61,1,Cm,0,0
61,1,Cw,88835,111439
61,1,X,88835,111439
61,1,Y,0,111439
62,1,Ad,0,0
62,1,Am,0,0
62,1,Aw,88437,110447
62,1,Bd,0,0
62,1,Bm,0,0
62,1,Bw,88437,110447
62,1,Ce,0,0
62,1,Cm,0,0
62,1,Cw,88437,110447
62,1,X,88437,110447
62,1,Y,0,110447
63,1,Ad,0,0
63,1,Am,0,0
63,1,Aw,87470,109599
63,1,Bd,0,0
63,1,Bm,0,0
63,1,Bw,87470,109599
63,1,Ce,0,0
63,1,Cm,0,0
63,1,Cw,87470,109599
63,1,X,87470,109599
63,1,Y,0,109599
64,1,Ad,0,0
64,1,Am,0,0
64,1,Aw,85453,108657
64,1,Bd,0,0
64,1,Bm,0,0
64,1,Bw,85453,108657
64,1,Ce,0,0
64,1,Cm,0,0
64,1,Cw,85453,108657
64,1,X,85453,108657
64,1,Y,0,108657
65,1,Ad,0,0
65,1,Am,0,0
65,1,Aw,84723,107641
65,1,Bd,0,0
65,1,Bm,0,0
65,1,Bw,84723,107641
65,1,Ce,0,0
65,1,Cm,0,0
65,1,Cw,84723,107641
65,1,X,84723,107641
65,1,Y,0,107641
66,1,Ad,0,0
66,1,Am,0,0
66,1,Aw,105029,127526
66,1,Bd,0,0
66,1,Bm,0,0
66,1,Bw,105029,127526
66,1,Ce,0,0
66,1,Cm,0,0
66,1,Cw,105029,127526
66,1,X,105029,127526
66,1,Y,0,127526
67,1,Ad,0,0
67,1,Am,0,0
67,1,Aw,98475,123295
67,1,Bd,0,0
67,1,Bm,0,0
67,1,Bw,98475,123295
67,1,Ce,0,0
67,1,Cm,0,0
67,1,Cw,98475,123295
67,1,X,98475,123295
67,1,Y,0,123295
68,1,Ad,0,0
68,1,Am,0,0
68,1,Aw,99550,123620
68,1,Bd,0,0
68,1,Bm,0,0
68,1,Bw,99550,123620
68,1,Ce,0,0
68,1,Cm,0,0
68,1,Cw,99550,123620
68,1,X,99550,123620
68,1,Y,0,123620
69,1,Ad,0,0
69,1,Am,0,0
69,1,Aw,99408,123002
69,1,Bd,0,0
69,1,Bm,0,0
69,1,Bw,99408,123002
69,1,Ce,0,0
69,1,Cm,0,0
69,1,Cw,99408,123002
69,1,X,99408,123002
69,1,Y,0,123002
70,1,Ad,0,0
70,1,Am,0,0
70,1,Aw,97833,122722
70,1,Bd,0,0
70,1,Bm,0,0
70,1,Bw,97833,122722
70,1,Ce,0,0
70,1,Cm,0,0
70,1,Cw,97833,122722
70,1,X,97833,122722
70,1,Y,0,122722
71,1,Ad,0,0
71,1,Am,0,0
71,1,Aw,98009,122614
71,1,Bd,0,0
71,1,Bm,0,0
71,1,Bw,98009,122614
71,1,Ce,0,0
71,1,Cm,0,0
71,1,Cw,98009,122614
71,1,X,98009,122614
71,1,Y,0,122614
72,1,Ad,0,0
72,1,Am,0,0
72,1,Aw,97897,122417
72,1,Bd,0,0
72,1,Bm,0,0
72,1,Bw,97897,122417
72,1,Ce,0,0
72,1,Cm,0,0
72,1,Cw,97897,122417
72,1,X,97897,122417
72,1,Y,0,122417
73,1,Ad,0,0
73,1,Am,0,0
73,1,Aw,96807,121922
73,1,Bd,0,0
73,1,Bm,0,0
73,1,Bw,96807,121922
73,1,Ce,0,0
73,1,Cm,0,0
73,1,Cw,96807,121922
73,1,X,96807,121922
73,1,Y,0,121922
74,1,Ad,0,0
74,1,Am,0,0
74,1,Aw,96896,121489
74,1,Bd,0,0
74,1,Bm,0,0
74,1,Bw,96896,121489
74,1,Ce,0,0
74,1,Cm,0,0
74,1,Cw,96896,121489
74,1,X,96896,121489
74,1,Y,0,121489
75,1,Ad,0,0
75,1,Am,0,0
75,1,Aw,96872,121298
75,1,Bd,0,0
75,1,Bm,0,0
75,1,Bw,96872,121298
75,1,Ce,0,0
75,1,Cm,0,0
75,1,Cw,96872,121298
75,1,X,96872,121298
75,1,Y,0,121298
76,1,Ad,0,0
76,1,Am,0,0
76,1,Aw,96377,120786
76,1,Bd,0,0
76,1,Bm,0,0
76,1,Bw,96377,120786
76,1,Ce,0,0
76,1,Cm,0,0
76,1,Cw,96377,120786
76,1,X,96377,120786
76,1,Y,0,120786
77,1,Ad,0,0
77,1,Am,0,0
77,1,Aw,96665,120760
77,1,Bd,0,0
77,1,Bm,0,0
77,1,Bw,96665,120760
77,1,Ce,0,0
77,1,Cm,0,0
77,1,Cw,96665,120760
77,1,X,96665,120760
77,1,Y,0,120760
78,1,Ad,0,0
78,1,Am,0,0
78,1,Aw,96672,120508
78,1,Bd,0,0
78,1,Bm,0,0
78,1,Bw,96672,120508
78,1,Ce,0,0
78,1,Cm,0,0
78,1,Cw,96672,120508
78,1,X,96672,120508
78,1,Y,0,120508
79,1,Ad,0,0
79,1,Am,0,0
79,1,Aw,96448,120370
79,1,Bd,0,0
79,1,Bm,0,0
79,1,Bw,96448,120370
79,1,Ce,0,0
79,1,Cm,0,0
79,1,Cw,96448,120370
79,1,X,96448,120370
79,1,Y,0,120370
80,1,Ad,0,8990
80,1,Am,0,0
80,1,Aw,96348,129292
80,1,Bd,0,0
80,1,Bm,0,0
80,1,Bw,96348,129292
80,1,Ce,0,0
80,1,Cm,0,0
80,1,Cw,96348,129292
80,1,X,96348,129292
80,1,Y,0,129292
81,1,Ad,0,8044
81,1,Am,0,0
81,1,Aw,95950,128206
81,1,Bd,0,0
81,1,Bm,0,0
81,1,Bw,95950,128206
81,1,Ce,0,0
81,1,Cm,0,0
81,1,Cw,95950,128206
81,1,X,95950,128206
81,1,Y,0,128206
82,1,Ad,0,7225
82,1,Am,0,0
82,1,Aw,95604,127143
82,1,Bd,0,0
82,1,Bm,0,0
82,1,Bw,95604,127143
82,1,Ce,0,0
82,1,Cm,0,0
82,1,Cw,95604,127143
82,1,X,95604,127143
82,1,Y,0,127143
83,1,Ad,0,6469
83,1,Am,0,0
83,1,Aw,95590,126247
83,1,Bd,0,0
83,1,Bm,0,0
83,1,Bw,95590,126247
83,1,Ce,0,0
83,1,Cm,0,0
83,1,Cw,95590,126247
83,1,X,95590,126247
83,1,Y,0,126247
84,1,Ad,0,5758
84,1,Am,0,0
84,1,Aw,99212,129016
84,1,Bd,0,0
84,1,Bm,0,0
84,1,Bw,99212,129016
84,1,Ce,0,0
84,1,Cm,0,0
84,1,Cw,99212,129016
84,1,X,99212,129016
84,1,Y,0,129016
85,1,Ad,0,5112
85,1,Am,0,0
85,1,Aw,97748,127161
85,1,Bd,0,0
85,1,Bm,0,0
85,1,Bw,97748,127161
85,1,Ce,0,0
85,1,Cm,0,0
85,1,Cw,97748,127161
85,1,X,97748,127161
85,1,Y,0,127161
86,1,Ad,0,4530
86,1,Am,0,0
86,1,Aw,97622,126622
86,1,Bd,0,0
86,1,Bm,0,0
86,1,Bw,97622,126622
86,1,Ce,0,0
86,1,Cm,0,0
86,1,Cw,97622,126622
