Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
56,1,a1,0,0,0
56,1,b0,96020,12721,5.43196
56,1,b1,0,0,0
56,1,a0.b0,96020,12721,5.43196
56,1,a1.b1,0,0,0
57,1,X,95514,12947,5.71878
57,1,Y,0,0,0
57,1,a0,95514,12947,5.71878
57,1,a1,0,0,0
57,1,b0,95514,12947,5.71878
57,1,b1,0,0,0
57,1,a0.b0,95514,12947,5.71878
57,1,a1.b1,0,0,0
58,1,X,92373,15667,6.55716
58,1,Y,0,0,0
58,1,a0,92373,15667,6.55716
58,1,a1,0,0,0
58,1,b0,92373,15667,6.55716
58,1,b1,0,0,0
58,1,a0.b0,92373,15667,6.55716
58,1,a1.b1,0,0,0
59,1,X,91713,13043,6.0792
59,1,Y,0,0,0
59,1,a0,91713,13043,6.0792
59,1,a1,0,0,0
59,1,b0,91713,13043,6.0792
59,1,b1,0,0,0
59,1,a0.b0,91713,13043,6.0792
59,1,a1.b1,0,0,0
60,1,X,90621,13307,6.27279
60,1,Y,0,0,0
60,1,a0,90621,13307,6.27279
60,1,a1,0,0,0
60,1,b0,90621,13307,6.27279
60,1,b1,0,0,0
60,1,a0.b0,90621,13307,6.27279
60,1,a1.b1,0,0,0
61,1,X,88054,14631,7.17128
61,1,Y,0,0,0
61,1,a0,88054,14631,7.17128
61,1,a1,0,0,0
61,1,b0,88054,14631,7.17128
61,1,b1,0,0,0
61,1,a0.b0,88054,14631,7.17128
61,1,a1.b1,0,0,0
62,1,X,87519,12802,6.57991
62,1,Y,0,0,0
62,1,a0,87519,12802,6.57991
62,1,a1,0,0,0
62,1,b0,87519,12802,6.57991
62,1,b1,0,0,0
62,1,a0.b0,87519,12802,6.57991
62,1,a1.b1,0,0,0
63,1,X,86674,12927,6.73621
63,1,Y,0,0,0
63,1,a0,86674,12927,6.73621
63,1,a1,0,0,0
63,1,b0,86674,12927,6.73621
63,1,b1,0,0,0
63,1,a0.b0,86674,12927,6.73621
63,1,a1.b1,0,0,0
64,1,X,85427,13432,7.37463
64,1,Y,0,0,0
64,1,a0,85427,13432,7.37463
64,1,a1,0,0,0
64,1,b0,85427,13432,7.37463
64,1,b1,0,0,0
64,1,a0.b0,85427,13432,7.37463
64,1,a1.b1,0,0,0
65,1,X,84717,12758,6.73154
65,1,Y,0,0,0
65,1,a0,84717,12758,6.73154
65,1,a1,0,0,0
