Time,NodeID,Genome,STATE_MALE
110,1,X-a1:Y-a0,0
110,1,X-a1:Y-a1,0
111,1,X-a0:Y-a0,121144
111,1,X-a0:Y-a1,0
111,1,X-a1:Y-a0,0
111,1,X-a1:Y-a1,0
112,1,X-a0:Y-a0,120998
112,1,X-a0:Y-a1,0
112,1,X-a1:Y-a0,0
112,1,X-a1:Y-a1,0
113,1,X-a0:Y-a0,121280
113,1,X-a0:Y-a1,0
113,1,X-a1:Y-a0,0
113,1,X-a1:Y-a1,0
114,1,X-a0:Y-a0,121101
114,1,X-a0:Y-a1,0
114,1,X-a1:Y-a0,0
114,1,X-a1:Y-a1,0
115,1,X-a0:Y-a0,121313
115,1,X-a0:Y-a1,0
115,1,X-a1:Y-a0,0
115,1,X-a1:Y-a1,0
116,1,X-a0:Y-a0,121117
116,1,X-a0:Y-a1,0
116,1,X-a1:Y-a0,0
116,1,X-a1:Y-a1,0
117,1,X-a0:Y-a0,121333
117,1,X-a0:Y-a1,0
117,1,X-a1:Y-a0,0
117,1,X-a1:Y-a1,0
118,1,X-a0:Y-a0,121128
118,1,X-a0:Y-a1,0
118,1,X-a1:Y-a0,0
118,1,X-a1:Y-a1,0
119,1,X-a0:Y-a0,121103
119,1,X-a0:Y-a1,0
119,1,X-a1:Y-a0,0
119,1,X-a1:Y-a1,0
120,1,X-a0:Y-a0,121012
120,1,X-a0:Y-a1,0
120,1,X-a1:Y-a0,0
120,1,X-a1:Y-a1,0
121,1,X-a0:Y-a0,121050
121,1,X-a0:Y-a1,0
121,1,X-a1:Y-a0,0
121,1,X-a1:Y-a1,0
122,1,X-a0:Y-a0,120970
122,1,X-a0:Y-a1,0
122,1,X-a1:Y-a0,0
122,1,X-a1:Y-a1,0
123,1,X-a0:Y-a0,120687
123,1,X-a0:Y-a1,0
123,1,X-a1:Y-a0,0
123,1,X-a1:Y-a1,0
124,1,X-a0:Y-a0,120941
124,1,X-a0:Y-a1,0
124,1,X-a1:Y-a0,0
124,1,X-a1:Y-a1,0
125,1,X-a0:Y-a0,118870
125,1,X-a0:Y-a1,0
125,1,X-a1:Y-a0,2086
125,1,X-a1:Y-a1,0
126,1,X-a0:Y-a0,119234
126,1,X-a0:Y-a1,0
126,1,X-a1:Y-a0,1877
126,1,X-a1:Y-a1,0
127,1,X-a0:Y-a0,119266
127,1,X-a0:Y-a1,0
127,1,X-a1:Y-a0,1698
127,1,X-a1:Y-a1,0
128,1,X-a0:Y-a0,118001
128,1,X-a0:Y-a1,0
128,1,X-a1:Y-a0,2979
128,1,X-a1:Y-a1,0
129,1,X-a0:Y-a0,118799
129,1,X-a0:Y-a1,0
129,1,X-a1:Y-a0,2671
129,1,X-a1:Y-a1,0
130,1,X-a0:Y-a0,119171
130,1,X-a0:Y-a1,0
130,1,X-a1:Y-a0,2387
130,1,X-a1:Y-a1,0
131,1,X-a0:Y-a0,118604
131,1,X-a0:Y-a1,0
131,1,X-a1:Y-a0,3006
131,1,X-a1:Y-a1,0
132,1,X-a0:Y-a0,118798
132,1,X-a0:Y-a1,0
132,1,X-a1:Y-a0,2685
132,1,X-a1:Y-a1,0
133,1,X-a0:Y-a0,118878
133,1,X-a0:Y-a1,0
133,1,X-a1:Y-a0,2356
133,1,X-a1:Y-a1,0
134,1,X-a0:Y-a0,118669
134,1,X-a0:Y-a1,0
134,1,X-a1:Y-a0,2658
134,1,X-a1:Y-a1,0
135,1,X-a0:Y-a0,118927
135,1,X-a0:Y-a1,0
135,1,X-a1:Y-a0,2321
135,1,X-a1:Y-a1,0
136,1,X-a0:Y-a0,119347
136,1,X-a0:Y-a1,0
136,1,X-a1:Y-a0,2073
136,1,X-a1:Y-a1,0
137,1,X-a0:Y-a0,119191
137,1,X-a0:Y-a1,0
137,1,X-a1:Y-a0,2136
137,1,X-a1:Y-a1,0
138,1,X-a0:Y-a0,119381
138,1,X-a0:Y-a1,0
138,1,X-a1:Y-a0,1871
138,1,X-a1:Y-a1,0
139,1,X-a0:Y-a0,119802
139,1,X-a0:Y-a1,0
139,1,X-a1:Y-a0,1673
139,1,X-a1:Y-a1,0
140,1,X-a0:Y-a0,120025
140,1,X-a0:Y-a1,0
140,1,X-a1:Y-a0,1618
140,1,X-a1:Y-a1,0
141,1,X-a0:Y-a0,120269
141,1,X-a0:Y-a1,0
141,1,X-a1:Y-a0,1431
141,1,X-a1:Y-a1,0
142,1,X-a0:Y-a0,120335
142,1,X-a0:Y-a1,0
142,1,X-a1:Y-a0,1243
142,1,X-a1:Y-a1,0
143,1,X-a0:Y-a0,120685
143,1,X-a0:Y-a1,0
143,1,X-a1:Y-a0,1147
143,1,X-a1:Y-a1,0
144,1,X-a0:Y-a0,120698
144,1,X-a0:Y-a1,0
144,1,X-a1:Y-a0,996
144,1,X-a1:Y-a1,0
145,1,X-a0:Y-a0,120910
145,1,X-a0:Y-a1,0
145,1,X-a1:Y-a0,858
145,1,X-a1:Y-a1,0
146,1,X-a0:Y-a0,120947
146,1,X-a0:Y-a1,0
146,1,X-a1:Y-a0,787
146,1,X-a1:Y-a1,0
147,1,X-a0:Y-a0,121080
147,1,X-a0:Y-a1,0
147,1,X-a1:Y-a0,668
147,1,X-a1:Y-a1,0
148,1,X-a0:Y-a0,121206
148,1,X-a0:Y-a1,0
148,1,X-a1:Y-a0,572
148,1,X-a1:Y-a1,0
149,1,X-a0:Y-a0,120998
149,1,X-a0:Y-a1,0
149,1,X-a1:Y-a0,513
149,1,X-a1:Y-a1,0
150,1,X-a0:Y-a0,121254
150,1,X-a0:Y-a1,0
150,1,X-a1:Y-a0,421
150,1,X-a1:Y-a1,0
151,1,X-a0:Y-a0,119979
151,1,X-a0:Y-a1,53
151,1,X-a1:Y-a0,1523
151,1,X-a1:Y-a1,13
152,1,X-a0:Y-a0,120181
152,1,X-a0:Y-a1,88
152,1,X-a1:Y-a0,1364
152,1,X-a1:Y-a1,10
153,1,X-a0:Y-a0,120127
153,1,X-a0:Y-a1,110
153,1,X-a1:Y-a0,1216
153,1,X-a1:Y-a1,8
154,1,X-a0:Y-a0,118696
154,1,X-a0:Y-a1,201
154,1,X-a1:Y-a0,2474
154,1,X-a1:Y-a1,28
155,1,X-a0:Y-a0,118657
155,1,X-a0:Y-a1,268
155,1,X-a1:Y-a0,2185
155,1,X-a1:Y-a1,24
156,1,X-a0:Y-a0,118783
156,1,X-a0:Y-a1,330
156,1,X-a1:Y-a0,1916
156,1,X-a1:Y-a1,21
157,1,X-a0:Y-a0,117601
157,1,X-a0:Y-a1,416
157,1,X-a1:Y-a0,3097
157,1,X-a1:Y-a1,42
158,1,X-a0:Y-a0,117855
158,1,X-a0:Y-a1,497
158,1,X-a1:Y-a0,2770
158,1,X-a1:Y-a1,38
159,1,X-a0:Y-a0,118332
159,1,X-a0:Y-a1,553
159,1,X-a1:Y-a0,2438
159,1,X-a1:Y-a1,30
160,1,X-a0:Y-a0,117145
160,1,X-a0:Y-a1,651
160,1,X-a1:Y-a0,3345
160,1,X-a1:Y-a1,45
161,1,X-a0:Y-a0,117381
161,1,X-a0:Y-a1,718
161,1,X-a1:Y-a0,2979
161,1,X-a1:Y-a1,41
162,1,X-a0:Y-a0,117841
162,1,X-a0:Y-a1,758
162,1,X-a1:Y-a0,2655
162,1,X-a1:Y-a1,37
163,1,X-a0:Y-a0,117250
163,1,X-a0:Y-a1,800
163,1,X-a1:Y-a0,3274
163,1,X-a1:Y-a1,50
164,1,X-a0:Y-a0,117430
164,1,X-a0:Y-a1,847
164,1,X-a1:Y-a0,2917
164,1,X-a1:Y-a1,47
165,1,X-a0:Y-a0,117831
165,1,X-a0:Y-a1,883
165,1,X-a1:Y-a0,2569
165,1,X-a1:Y-a1,41
166,1,X-a0:Y-a0,117612
166,1,X-a0:Y-a1,896
166,1,X-a1:Y-a0,2833
166,1,X-a1:Y-a1,37
167,1,X-a0:Y-a0,118019
167,1,X-a0:Y-a1,885
167,1,X-a1:Y-a0,2528
167,1,X-a1:Y-a1,34
168,1,X-a0:Y-a0,118236
168,1,X-a0:Y-a1,892
168,1,X-a1:Y-a0,2212
168,1,X-a1:Y-a1,30
169,1,X-a0:Y-a0,117915
169,1,X-a0:Y-a1,881
169,1,X-a1:Y-a0,2327
169,1,X-a1:Y-a1,34
170,1,X-a0:Y-a0,118344
170,1,X-a0:Y-a1,877
170,1,X-a1:Y-a0,2067
170,1,X-a1:Y-a1,29
171,1,X-a0:Y-a0,118532
171,1,X-a0:Y-a1,873
171,1,X-a1:Y-a0,1818
171,1,X-a1:Y-a1,23
172,1,X-a0:Y-a0,118308
172,1,X-a0:Y-a1,848
172,1,X-a1:Y-a0,1829
172,1,X-a1:Y-a1,24
173,1,X-a0:Y-a0,118993
173,1,X-a0:Y-a1,815
173,1,X-a1:Y-a0,1597
173,1,X-a1:Y-a1,21
174,1,X-a0:Y-a0,119542
174,1,X-a0:Y-a1,779
174,1,X-a1:Y-a0,1386
