Time, Year, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
1410,1964.36,54,46.7217,M,1,0,N/A,STIPostImmigrating,0,66,111,0,0,MARITAL,PAUSED,4,1,0
1411,1964.37,17,30.1387,M,1,4,local,STIPreEmigrating,0,134,89,0,0,INFORMAL,PAUSED,151,1,0
1411,1964.37,17,30.1387,M,4,0,N/A,STIPostImmigrating,0,134,89,0,0,INFORMAL,NORMAL,151,4,4
1412,1964.37,67,30.6243,F,2,4,local,STIPreEmigrating,0,7,163,0,0,MARITAL,PAUSED,199,0,2
1412,1964.37,67,30.6243,F,4,0,N/A,STIPostImmigrating,0,7,163,0,0,MARITAL,PAUSED,199,0,4
1413,1964.37,120,35.5752,M,3,4,local,STIPreEmigrating,0,28,137,0,0,MARITAL,NORMAL,52,3,3
1413,1964.37,120,35.5752,M,4,0,N/A,STIPostImmigrating,0,28,137,0,0,MARITAL,PAUSED,52,4,0
1414,1964.37,336,56.1997,F,3,4,local,STIPreEmigrating,0,70,56,0,0,MARITAL,PAUSED,149,0,3
1414,1964.37,336,56.1997,F,4,0,N/A,STIPostImmigrating,0,70,56,0,0,MARITAL,PAUSED,149,0,4
1415,1964.38,270,33.2683,M,4,1,local,STIPreEmigrating,0,111,87,0,0,TRANSITORY,PAUSED,168,4,0
1415,1964.38,327,59.5396,M,2,3,local,STIPreEmigrating,0,69,127,0,0,MARITAL,NORMAL,290,2,2
1415,1964.38,327,59.5396,M,3,0,N/A,STIPostImmigrating,0,69,127,0,0,MARITAL,PAUSED,290,3,0
1415,1964.38,270,33.2683,M,1,0,N/A,STIPostImmigrating,0,111,87,0,0,TRANSITORY,NORMAL,168,1,1
1416,1964.38,307,32.8874,M,2,3,local,STIPreEmigrating,0,57,132,0,0,MARITAL,PAUSED,200,2,0
1416,1964.38,180,44.7497,F,2,3,local,STIPreEmigrating,0,83,142,0,0,MARITAL,PAUSED,341,0,2
1416,1964.38,180,44.7497,F,3,0,N/A,STIPostImmigrating,0,83,142,0,0,MARITAL,PAUSED,341,0,3
1416,1964.38,307,32.8874,M,3,0,N/A,STIPostImmigrating,0,57,132,0,0,MARITAL,PAUSED,200,3,0
1417,1964.38,106,33.6395,F,4,1,local,STIPreEmigrating,0,30,192,0,0,MARITAL,NORMAL,98,4,4
1417,1964.38,244,30.1256,F,4,3,local,STIPreEmigrating,0,40,108,0,0,MARITAL,PAUSED,236,0,4
1417,1964.38,244,30.1256,F,3,0,N/A,STIPostImmigrating,0,40,108,0,0,MARITAL,NORMAL,236,3,3
1417,1964.38,106,33.6395,F,1,0,N/A,STIPostImmigrating,0,30,192,0,0,MARITAL,PAUSED,98,0,1
1419,1964.39,3,37.939,M,3,2,local,STIPreEmigrating,0,124,87,0,0,INFORMAL,PAUSED,32,3,0
1419,1964.39,180,44.7579,F,3,2,local,STIPreEmigrating,0,83,142,0,0,MARITAL,PAUSED,341,0,3
1419,1964.39,180,44.7579,F,2,0,N/A,STIPostImmigrating,0,83,142,0,0,MARITAL,PAUSED,341,0,2
1419,1964.39,3,37.939,M,2,0,N/A,STIPostImmigrating,0,124,87,0,0,INFORMAL,PAUSED,32,2,0
1424,1964.4,142,36.8979,F,4,1,local,STIPreEmigrating,0,46,117,0,0,MARITAL,PAUSED,206,0,4
1424,1964.4,155,33.1982,F,2,1,local,STIPreEmigrating,0,51,177,0,0,INFORMAL,PAUSED,255,0,2
1424,1964.4,155,33.1982,F,1,0,N/A,STIPostImmigrating,0,51,177,0,0,INFORMAL,PAUSED,255,0,1
1424,1964.4,142,36.8979,F,1,0,N/A,STIPostImmigrating,0,46,117,0,0,MARITAL,PAUSED,206,0,1
1425,1964.4,302,41.0839,F,3,1,local,STIPreEmigrating,0,71,122,0,0,MARITAL,PAUSED,8,0,3
1425,1964.4,197,35.598,F,3,4,local,STIPreEmigrating,0,18,108,0,0,MARITAL,NORMAL,113,3,3
1425,1964.4,79,41.0222,F,2,4,local,STIPreEmigrating,0,65,133,0,0,MARITAL,PAUSED,284,0,2
1425,1964.4,79,41.0222,F,4,0,N/A,STIPostImmigrating,0,65,133,0,0,MARITAL,PAUSED,284,0,4
1425,1964.4,197,35.598,F,4,0,N/A,STIPostImmigrating,0,18,108,0,0,MARITAL,PAUSED,113,0,4
1425,1964.4,302,41.0839,F,1,0,N/A,STIPostImmigrating,0,71,122,0,0,MARITAL,NORMAL,8,1,1
1426,1964.41,311,30.5206,M,2,3,local,STIPreEmigrating,0,166,27,0,0,INFORMAL,PAUSED,306,2,0
1426,1964.41,311,30.5206,M,3,0,N/A,STIPostImmigrating,0,166,27,0,0,INFORMAL,PAUSED,306,3,0
1427,1964.41,198,40.0346,M,2,1,local,STIPreEmigrating,0,164,25,0,0,INFORMAL,PAUSED,128,2,0
1427,1964.41,198,40.0346,M,1,0,N/A,STIPostImmigrating,0,164,25,0,0,INFORMAL,NORMAL,128,1,1
1428,1964.41,98,37.3281,M,4,1,local,STIPreEmigrating,0,30,192,0,0,MARITAL,PAUSED,106,4,0
1428,1964.41,98,37.3281,M,1,0,N/A,STIPostImmigrating,0,30,192,0,0,MARITAL,NORMAL,106,1,1
1429,1964.42,52,38.5934,F,3,2,local,STIPreEmigrating,0,28,137,0,0,MARITAL,PAUSED,120,0,3
1429,1964.42,37,39.4717,M,3,4,local,STIPreEmigrating,0,101,125,0,0,MARITAL,PAUSED,26,3,0
1429,1964.42,37,39.4717,M,4,0,N/A,STIPostImmigrating,0,101,125,0,0,MARITAL,NORMAL,26,4,4
1429,1964.42,52,38.5934,F,2,0,N/A,STIPostImmigrating,0,28,137,0,0,MARITAL,PAUSED,120,0,2
1430,1964.42,281,46.174,M,2,4,local,STIPreEmigrating,0,32,153,0,0,MARITAL,PAUSED,177,2,0
1430,1964.42,281,46.174,M,4,0,N/A,STIPostImmigrating,0,32,153,0,0,MARITAL,PAUSED,177,4,0
1431,1964.42,199,52.078,M,3,2,local,STIPreEmigrating,0,7,163,0,0,MARITAL,PAUSED,67,3,0
1431,1964.42,199,52.078,M,2,0,N/A,STIPostImmigrating,0,7,163,0,0,MARITAL,PAUSED,67,2,0
1433,1964.43,37,39.4827,M,4,3,local,STIPreEmigrating,0,101,127,0,0,MARITAL,NORMAL,26,4,4
1433,1964.43,255,37.6084,M,3,2,local,STIPreEmigrating,0,51,177,0,0,INFORMAL,PAUSED,155,3,0
1433,1964.43,32,30.1769,F,1,3,local,STIPreEmigrating,0,124,87,0,0,INFORMAL,PAUSED,3,0,1
1433,1964.43,123,36.9434,F,1,2,local,STIPreEmigrating,0,8,140,0,0,MARITAL,PAUSED,235,0,1
1433,1964.43,123,36.9434,F,2,0,N/A,STIPostImmigrating,0,8,140,0,0,MARITAL,PAUSED,235,0,2
1433,1964.43,32,30.1769,F,3,0,N/A,STIPostImmigrating,0,124,87,0,0,INFORMAL,PAUSED,3,0,3
1433,1964.43,255,37.6084,M,2,0,N/A,STIPostImmigrating,0,51,177,0,0,INFORMAL,PAUSED,155,2,0
1433,1964.43,37,39.4827,M,3,0,N/A,STIPostImmigrating,0,101,127,0,0,MARITAL,PAUSED,26,3,0
1435,1964.43,60,34.4471,F,1,3,local,STIPreEmigrating,0,48,128,0,0,MARITAL,PAUSED,68,0,1
1435,1964.43,60,34.4471,F,3,0,N/A,STIPostImmigrating,0,48,128,0,0,MARITAL,PAUSED,68,0,3
1436,1964.43,151,33.934,F,4,2,local,STIPreEmigrating,0,134,100,0,0,INFORMAL,NORMAL,17,4,4
1436,1964.43,219,33.9297,M,4,2,local,STIPreEmigrating,0,185,24,0,0,INFORMAL,NORMAL,31,4,4
1436,1964.43,58,32.8607,M,3,1,local,STIPreEmigrating,0,168,47,0,0,INFORMAL,PAUSED,61,3,0
1436,1964.43,58,32.8607,M,1,0,N/A,STIPostImmigrating,0,168,47,0,0,INFORMAL,PAUSED,61,1,0
1436,1964.43,219,33.9297,M,2,0,N/A,STIPostImmigrating,0,185,24,0,0,INFORMAL,PAUSED,31,2,0
1436,1964.43,151,33.934,F,2,0,N/A,STIPostImmigrating,0,134,100,0,0,INFORMAL,PAUSED,17,0,2
1437,1964.44,197,35.6309,F,4,3,local,STIPreEmigrating,0,18,108,0,0,MARITAL,PAUSED,113,0,4
1437,1964.44,286,49.0992,M,4,1,local,STIPreEmigrating,0,159,21,0,0,MARITAL,PAUSED,253,4,0
1437,1964.44,286,49.0992,M,1,0,N/A,STIPostImmigrating,0,159,21,0,0,MARITAL,PAUSED,253,1,0
1437,1964.44,197,35.6309,F,3,0,N/A,STIPostImmigrating,0,18,108,0,0,MARITAL,NORMAL,113,3,3
1438,1964.44,26,39.8518,F,4,1,local,STIPreEmigrating,0,101,127,0,0,MARITAL,PAUSED,37,0,4
1438,1964.44,17,30.2127,M,4,1,local,STIPreEmigrating,0,134,100,0,0,INFORMAL,PAUSED,151,4,0
1438,1964.44,255,37.6221,M,2,3,local,STIPreEmigrating,0,51,177,0,0,INFORMAL,PAUSED,155,2,0
1438,1964.44,255,37.6221,M,3,0,N/A,STIPostImmigrating,0,51,177,0,0,INFORMAL,PAUSED,155,3,0
1438,1964.44,17,30.2127,M,1,0,N/A,STIPostImmigrating,0,134,100,0,0,INFORMAL,PAUSED,151,1,0
1438,1964.44,26,39.8518,F,1,0,N/A,STIPostImmigrating,0,101,127,0,0,MARITAL,PAUSED,37,0,1
1441,1964.45,3,37.9992,M,2,1,local,STIPreEmigrating,0,124,87,0,0,INFORMAL,PAUSED,32,2,0
1441,1964.45,3,37.9992,M,1,0,N/A,STIPostImmigrating,0,124,87,0,0,INFORMAL,PAUSED,32,1,0
1442,1964.45,132,30.6716,F,3,1,local,STIPreEmigrating,0,170,19,0,0,INFORMAL,PAUSED,169,0,3
1442,1964.45,253,45.9335,F,2,4,local,STIPreEmigrating,0,159,21,0,0,MARITAL,PAUSED,286,0,2
1442,1964.45,253,45.9335,F,4,0,N/A,STIPostImmigrating,0,159,21,0,0,MARITAL,PAUSED,286,0,4
1442,1964.45,132,30.6716,F,1,0,N/A,STIPostImmigrating,0,170,19,0,0,INFORMAL,PAUSED,169,0,1
1443,1964.45,104,34.826,M,3,4,local,STIPreEmigrating,0,154,19,0,0,INFORMAL,PAUSED,239,3,0
1443,1964.45,219,33.9489,M,2,1,local,STIPreEmigrating,0,185,24,0,0,INFORMAL,PAUSED,31,2,0
1443,1964.45,198,40.0785,M,1,3,local,STIPreEmigrating,0,164,29,0,0,INFORMAL,NORMAL,128,1,1
1443,1964.45,198,40.0785,M,3,0,N/A,STIPostImmigrating,0,164,29,0,0,INFORMAL,PAUSED,128,3,0
1443,1964.45,219,33.9489,M,1,0,N/A,STIPostImmigrating,0,185,24,0,0,INFORMAL,PAUSED,31,1,0
1443,1964.45,104,34.826,M,4,0,N/A,STIPostImmigrating,0,154,19,0,0,INFORMAL,PAUSED,239,4,0
1444,1964.46,253,45.939,F,4,3,local,STIPreEmigrating,0,159,21,0,0,MARITAL,PAUSED,286,0,4
1444,1964.46,269,46.205,F,1,4,local,STIPreEmigrating,0,118,50,0,0,MARITAL,PAUSED,186,0,1
1444,1964.46,270,33.3477,M,1,3,local,STIPreEmigrating,0,111,98,0,0,TRANSITORY,NORMAL,168,1,1
1444,1964.46,270,33.3477,M,3,0,N/A,STIPostImmigrating,0,111,98,0,0,TRANSITORY,PAUSED,168,3,0
1444,1964.46,269,46.205,F,4,0,N/A,STIPostImmigrating,0,118,50,0,0,MARITAL,NORMAL,186,4,4
1444,1964.46,253,45.939,F,3,0,N/A,STIPostImmigrating,0,159,21,0,0,MARITAL,PAUSED,286,0,3
1445,1964.46,197,35.6528,F,3,4,local,STIPreEmigrating,0,18,111,0,0,MARITAL,NORMAL,113,3,3
1445,1964.46,197,35.6528,F,4,0,N/A,STIPostImmigrating,0,18,111,0,0,MARITAL,PAUSED,113,0,4
