Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
218,1,1597,2099,2100,0,F,35,112,20.0246,21.0842,44,BROKEUP
203,1,1457,2100.49,2101,1,F,222,285,26.0297,24.9378,81,BROKEUP
254,2,1998,2106.86,2107,1,F,339,152,20.5648,16.5399,13,BROKEUP
240,2,1859,2151.26,2152,1,F,104,343,36.7657,21.8175,16,BROKEUP
244,3,1899,2156.84,2157,1,F,144,94,18.2462,18.6104,52,BROKEUP
165,1,1135,2160.82,2161,1,F,249,321,40.9575,28.2549,108,BROKEUP
194,3,1366,2167.25,2168,1,F,316,298,30.4283,22.6777,103,BROKEUP
187,3,1290,2174.88,2175,1,F,334,179,20.414,16.7916,135,BROKEUP
245,4,1904,2190.3,2191,0,F,192,214,20.8134,20.866,84,BROKEUP
257,1,2037,2191.35,2192,1,F,219,239,35.9982,30.0797,24,BROKEUP
272,2,2130,2196.44,2197,0,F,62,231,22.241,13.4662,29,BROKEUP
180,1,1255,2201.8,2202,1,F,10,44,31.0868,28.892,30,BROKEUP
266,2,2092,2209.01,2210,0,F,133,304,31.7922,27.3653,30,BROKEUP
258,2,2039,2211.19,2212,0,F,287,130,20.0075,22.9907,9,BROKEUP
177,1,1247,2259.14,2260,1,F,28,182,19.8804,19.115,80,BROKEUP
265,2,2074,2296.95,2297,0,F,115,153,22.4315,18.9847,31,BROKEUP
268,3,2108,2322.12,2323,0,F,138,152,25.3738,17.1316,50,BROKEUP
202,1,1448,2335.89,2336,1,F,140,293,30.6522,19.4563,46,BROKEUP
262,2,2060,2338.53,2339,0,F,262,107,23.5154,17.3444,37,BROKEUP
236,3,1828,2341.32,2342,0,F,11,216,19.6169,18.1363,65,BROKEUP
259,1,2043,2342.61,2343,1,F,46,27,23.0495,22.9824,11,BROKEUP
264,3,2069,2343.58,2344,0,F,260,160,20.7757,17.1384,58,BROKEUP
