Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_C*,NumVectorsWithSporozoites_G*,NumVectorsWithSporozoites_Other
60,340461476,X-a2:X-a2,1447,0,0,1447,1014,30017,26075,0,0,0,0,0
61,340461476,X-a1:X-a1,1432,0,0,1432,1017,25663,22000,0,0,0,0,0
61,340461476,X-a1:X-a2,2806,0,0,2806,2012,56373,51050,0,0,0,0,0
61,340461476,X-a2:X-a2,1463,0,0,1463,1061,29952,27050,0,0,0,0,0
62,340461476,X-a1:X-a1,1443,0,0,1443,1003,25699,41450,0,0,0,0,0
62,340461476,X-a1:X-a2,2759,0,0,2759,2074,56886,89650,0,0,0,0,0
62,340461476,X-a2:X-a2,1471,0,0,1471,1026,30268,47000,0,0,0,0,0
63,340461476,X-a1:X-a1,1484,0,0,1484,988,25802,25450,0,0,0,0,0
63,340461476,X-a1:X-a2,2840,0,0,2840,2078,56916,58200,0,0,0,0,0
63,340461476,X-a2:X-a2,1472,0,0,1472,1102,30237,29050,0,0,0,0,0
64,340461476,X-a1:X-a1,1481,0,0,1481,1001,25855,27300,0,0,0,0,0
64,340461476,X-a1:X-a2,2863,0,0,2863,2083,57276,58650,0,0,0,0,0
64,340461476,X-a2:X-a2,1463,0,0,1463,1130,30119,32250,0,0,0,0,0
65,340461476,X-a1:X-a1,1457,0,0,1457,1030,25958,38200,0,0,0,0,0
65,340461476,X-a1:X-a2,2866,0,0,2866,2116,57372,82250,0,0,0,0,0
65,340461476,X-a2:X-a2,1503,0,0,1503,1146,30315,42950,0,0,0,0,0
66,340461476,X-a1:X-a1,1464,0,0,1464,1016,26047,28575,0,0,0,0,0
66,340461476,X-a1:X-a2,2888,0,0,2888,2201,57319,65100,0,0,0,0,0
66,340461476,X-a2:X-a2,1538,0,0,1538,1168,30359,32025,0,0,0,0,0
67,340461476,X-a1:X-a1,1495,0,0,1495,1014,26162,29825,0,0,0,0,0
67,340461476,X-a1:X-a2,2963,0,0,2963,2186,57816,65900,0,0,0,0,0
67,340461476,X-a2:X-a2,1604,0,0,1604,1134,30328,34175,0,0,0,0,0
68,340461476,X-a1:X-a1,1482,0,0,1482,1018,26312,35075,0,0,0,0,0
68,340461476,X-a1:X-a2,2983,0,0,2983,2179,58328,77850,0,0,0,0,0
68,340461476,X-a2:X-a2,1614,0,0,1614,1158,30430,40975,0,0,0,0,0
69,340461476,X-a1:X-a1,1514,0,0,1514,1021,26354,29775,0,0,0,0,0
69,340461476,X-a1:X-a2,3022,0,0,3022,2183,58178,69100,0,0,0,0,0
69,340461476,X-a2:X-a2,1640,0,0,1640,1099,30561,33825,0,0,0,0,0
70,340461476,X-a1:X-a1,1501,0,0,1501,1058,26394,32575,0,0,0,0,0
70,340461476,X-a1:X-a2,3106,0,0,3106,2204,58466,68600,0,0,0,0,0
70,340461476,X-a2:X-a2,1644,0,0,1644,1101,30524,35725,0,0,0,0,0
71,340461476,X-a1:X-a1,1526,0,0,1526,1068,26626,36300,0,0,0,0,0
71,340461476,X-a1:X-a2,3085,0,0,3085,2226,58690,77250,0,0,0,0,0
71,340461476,X-a2:X-a2,1642,0,0,1642,1153,30565,42350,0,0,0,0,0
72,340461476,X-a1:X-a1,1541,0,0,1541,1073,26702,32650,0,0,0,0,0
72,340461476,X-a1:X-a2,3100,0,0,3100,2258,58587,72150,0,0,0,0,0
72,340461476,X-a2:X-a2,1655,0,0,1655,1144,30635,35300,0,0,0,0,0
73,340461476,X-a1:X-a1,1529,0,0,1529,1090,26920,34900,0,0,0,0,0
73,340461476,X-a1:X-a2,3137,0,0,3137,2199,58846,72950,0,0,0,0,0
73,340461476,X-a2:X-a2,1619,0,0,1619,1187,30490,38550,0,0,0,0,0
74,340461476,X-a1:X-a1,1556,0,0,1556,1095,27024,36400,0,0,0,0,0
74,340461476,X-a1:X-a2,3171,0,0,3171,2235,58971,80450,0,0,0,0,0
74,340461476,X-a2:X-a2,1598,0,0,1598,1247,30615,41650,0,0,0,0,0
75,340461476,X-a1:X-a1,1582,0,0,1582,1080,26927,33650,0,0,0,0,0
75,340461476,X-a1:X-a2,3163,0,0,3163,2239,59142,73100,0,0,0,0,0
75,340461476,X-a2:X-a2,1657,0,0,1657,1197,30682,37350,0,0,0,0,0
76,340461476,X-a1:X-a1,1594,0,0,1594,1075,26950,35225,0,0,0,0,0
