Time,NodeID,Alleles,VectorPopulation
253,1,Bw,101173
253,1,X,101173
253,1,Y,0
254,1,Be,0
254,1,Bw,101429
254,1,X,101429
254,1,Y,0
255,1,Be,0
255,1,Bw,101424
255,1,X,101424
255,1,Y,0
256,1,Be,0
256,1,Bw,101156
256,1,X,101156
256,1,Y,0
257,1,Be,0
257,1,Bw,101200
257,1,X,101200
257,1,Y,0
258,1,Be,0
258,1,Bw,100840
258,1,X,100840
258,1,Y,0
259,1,Be,0
259,1,Bw,100820
259,1,X,100820
259,1,Y,0
260,1,Be,0
260,1,Bw,100887
260,1,X,100887
260,1,Y,0
261,1,Be,0
261,1,Bw,100568
261,1,X,100568
261,1,Y,0
262,1,Be,0
262,1,Bw,100497
262,1,X,100497
262,1,Y,0
263,1,Be,0
263,1,Bw,100375
263,1,X,100375
263,1,Y,0
264,1,Be,0
264,1,Bw,100451
264,1,X,100451
264,1,Y,0
265,1,Be,0
265,1,Bw,100604
265,1,X,100604
265,1,Y,0
266,1,Be,0
266,1,Bw,100587
266,1,X,100587
266,1,Y,0
267,1,Be,0
267,1,Bw,100595
267,1,X,100595
267,1,Y,0
268,1,Be,0
268,1,Bw,100598
268,1,X,100598
268,1,Y,0
269,1,Be,0
269,1,Bw,100618
269,1,X,100618
269,1,Y,0
270,1,Be,0
270,1,Bw,100483
270,1,X,100483
270,1,Y,0
271,1,Be,0
271,1,Bw,100403
271,1,X,100403
271,1,Y,0
272,1,Be,0
272,1,Bw,100520
272,1,X,100520
272,1,Y,0
273,1,Be,0
273,1,Bw,100491
273,1,X,100491
273,1,Y,0
274,1,Be,0
274,1,Bw,100555
274,1,X,100555
274,1,Y,0
275,1,Be,0
275,1,Bw,100490
275,1,X,100490
275,1,Y,0
276,1,Be,0
276,1,Bw,100477
276,1,X,100477
276,1,Y,0
277,1,Be,0
277,1,Bw,100441
277,1,X,100441
277,1,Y,0
278,1,Be,0
278,1,Bw,100550
278,1,X,100550
278,1,Y,0
279,1,Be,0
279,1,Bw,100477
279,1,X,100477
279,1,Y,0
280,1,Be,0
280,1,Bw,100428
280,1,X,100428
280,1,Y,0
281,1,Be,0
281,1,Bw,100509
281,1,X,100509
281,1,Y,0
282,1,Be,0
282,1,Bw,100610
282,1,X,100610
282,1,Y,0
283,1,Be,0
283,1,Bw,100676
283,1,X,100676
283,1,Y,0
284,1,Be,0
284,1,Bw,100871
284,1,X,100871
284,1,Y,0
285,1,Be,0
285,1,Bw,100685
285,1,X,100685
285,1,Y,0
286,1,Be,0
286,1,Bw,100817
286,1,X,100817
286,1,Y,0
287,1,Be,0
287,1,Bw,100975
287,1,X,100975
287,1,Y,0
288,1,Be,0
288,1,Bw,100883
288,1,X,100883
288,1,Y,0
289,1,Be,0
289,1,Bw,100799
289,1,X,100799
289,1,Y,0
290,1,Be,0
290,1,Bw,100807
290,1,X,100807
290,1,Y,0
291,1,Be,0
291,1,Bw,101252
291,1,X,101252
291,1,Y,0
292,1,Be,0
292,1,Bw,101427
292,1,X,101427
292,1,Y,0
293,1,Be,0
293,1,Bw,101338
293,1,X,101338
293,1,Y,0
294,1,Be,0
294,1,Bw,101139
294,1,X,101139
294,1,Y,0
295,1,Be,0
295,1,Bw,100999
295,1,X,100999
295,1,Y,0
296,1,Be,0
296,1,Bw,100969
296,1,X,100969
296,1,Y,0
297,1,Be,0
297,1,Bw,100880
297,1,X,100880
297,1,Y,0
298,1,Be,0
298,1,Bw,100898
298,1,X,100898
298,1,Y,0
299,1,Be,0
299,1,Bw,100975
299,1,X,100975
299,1,Y,0
300,1,Be,0
300,1,Bw,100967
300,1,X,100967
300,1,Y,0
301,1,Be,0
301,1,Bw,101119
301,1,X,101119
301,1,Y,0
302,1,Be,0
302,1,Bw,101302
302,1,X,101302
302,1,Y,0
303,1,Be,0
303,1,Bw,101230
303,1,X,101230
303,1,Y,0
304,1,Be,0
304,1,Bw,101159
304,1,X,101159
304,1,Y,0
305,1,Be,0
305,1,Bw,101066
305,1,X,101066
305,1,Y,0
306,1,Be,0
306,1,Bw,100868
306,1,X,100868
306,1,Y,0
307,1,Be,0
307,1,Bw,100960
307,1,X,100960
307,1,Y,0
308,1,Be,0
308,1,Bw,101067
308,1,X,101067
308,1,Y,0
309,1,Be,0
309,1,Bw,101177
309,1,X,101177
309,1,Y,0
310,1,Be,0
310,1,Bw,101128
310,1,X,101128
310,1,Y,0
311,1,Be,0
311,1,Bw,101107
311,1,X,101107
311,1,Y,0
312,1,Be,0
312,1,Bw,101260
312,1,X,101260
312,1,Y,0
313,1,Be,0
313,1,Bw,101452
313,1,X,101452
313,1,Y,0
314,1,Be,0
314,1,Bw,101300
314,1,X,101300
314,1,Y,0
315,1,Be,0
315,1,Bw,101328
315,1,X,101328
315,1,Y,0
316,1,Be,0
316,1,Bw,101303
316,1,X,101303
316,1,Y,0
317,1,Be,0
317,1,Bw,101224
317,1,X,101224
317,1,Y,0
318,1,Be,0
318,1,Bw,101269
318,1,X,101269
318,1,Y,0
319,1,Be,0
319,1,Bw,101270
319,1,X,101270
319,1,Y,0
320,1,Be,0
320,1,Bw,101496
320,1,X,101496
320,1,Y,0
321,1,Be,0
321,1,Bw,101495
321,1,X,101495
321,1,Y,0
322,1,Be,0
322,1,Bw,101604
322,1,X,101604
322,1,Y,0
323,1,Be,0
323,1,Bw,101426
323,1,X,101426
323,1,Y,0
324,1,Be,0
324,1,Bw,101454
324,1,X,101454
324,1,Y,0
325,1,Be,0
325,1,Bw,101452
325,1,X,101452
325,1,Y,0
326,1,Be,0
326,1,Bw,101458
326,1,X,101458
326,1,Y,0
327,1,Be,0
327,1,Bw,101359
327,1,X,101359
327,1,Y,0
328,1,Be,0
328,1,Bw,101202
328,1,X,101202
328,1,Y,0
329,1,Be,0
329,1,Bw,101440
329,1,X,101440
329,1,Y,0
330,1,Be,0
330,1,Bw,101514
330,1,X,101514
330,1,Y,0
331,1,Be,0
331,1,Bw,101338
331,1,X,101338
331,1,Y,0
332,1,Be,0
332,1,Bw,101082
332,1,X,101082
332,1,Y,0
333,1,Be,0
333,1,Bw,101187
333,1,X,101187
333,1,Y,0
334,1,Be,0
334,1,Bw,100942
334,1,X,100942
334,1,Y,0
335,1,Be,0
335,1,Bw,100782
335,1,X,100782
335,1,Y,0
336,1,Be,0
336,1,Bw,100704
336,1,X,100704
336,1,Y,0
337,1,Be,0
337,1,Bw,100627
337,1,X,100627
337,1,Y,0
338,1,Be,0
338,1,Bw,100452
338,1,X,100452
338,1,Y,0
339,1,Be,0
339,1,Bw,100339
339,1,X,100339
339,1,Y,0
340,1,Be,0
340,1,Bw,100331
340,1,X,100331
340,1,Y,0
341,1,Be,0
341,1,Bw,100541
341,1,X,100541
341,1,Y,0
342,1,Be,0
342,1,Bw,100824
342,1,X,100824
342,1,Y,0
343,1,Be,0
343,1,Bw,101056
343,1,X,101056
343,1,Y,0
344,1,Be,0
344,1,Bw,101166
344,1,X,101166
344,1,Y,0
345,1,Be,0
345,1,Bw,101088
345,1,X,101088
345,1,Y,0
346,1,Be,0
346,1,Bw,101172
346,1,X,101172
346,1,Y,0
347,1,Be,0
347,1,Bw,101182
347,1,X,101182
347,1,Y,0
348,1,Be,0
348,1,Bw,101047
348,1,X,101047
348,1,Y,0
349,1,Be,0
349,1,Bw,101175
349,1,X,101175
349,1,Y,0
350,1,Be,0
350,1,Bw,100996
350,1,X,100996
350,1,Y,0
351,1,Be,0
351,1,Bw,101192
351,1,X,101192
351,1,Y,0
352,1,Be,0
352,1,Bw,101276
352,1,X,101276
352,1,Y,0
353,1,Be,0
353,1,Bw,101118
353,1,X,101118
353,1,Y,0
354,1,Be,0
354,1,Bw,101464
354,1,X,101464
354,1,Y,0
355,1,Be,0
355,1,Bw,101751
355,1,X,101751
355,1,Y,0
356,1,Be,0
356,1,Bw,101515
356,1,X,101515
356,1,Y,0
357,1,Be,0
357,1,Bw,101516
357,1,X,101516
357,1,Y,0
358,1,Be,0
358,1,Bw,101480
358,1,X,101480
358,1,Y,0
359,1,Be,0
359,1,Bw,101373
359,1,X,101373
359,1,Y,0
360,1,Be,0
360,1,Bw,101132
360,1,X,101132
360,1,Y,0
361,1,Be,0
361,1,Bw,101231
361,1,X,101231
361,1,Y,0
362,1,Be,0
362,1,Bw,101359
362,1,X,101359
362,1,Y,0
363,1,Be,0
363,1,Bw,101168
363,1,X,101168
363,1,Y,0
364,1,Be,0
364,1,Bw,101158
364,1,X,101158
364,1,Y,0
365,1,Be,0
365,1,Bw,101142
365,1,X,101142
365,1,Y,0
366,1,Be,0
