
time,Node_ID,Before/After,RelationshipType,# of Males,# of Females,Male_Bin_Index_1,Male_Bin_Index_2,Male_Bin_Index_3,Male_Bin_Index_4,Male_Bin_Index_5,Male_Bin_Index_6,Male_Bin_Index_7,Male_Bin_Index_8,Male_Bin_Index_9,Male_Bin_Index_10,Male_Bin_Index_11,Male_Bin_Index_12,Male_Bin_Index_13,Male_Bin_Index_14,Male_Bin_Index_15,Male_Bin_Index_16,Male_Bin_Index_17,Male_Bin_Index_18,Male_Bin_Index_19,Male_Bin_Index_20,Female_Bin_Index_1,Female_Bin_Index_2,Female_Bin_Index_3,Female_Bin_Index_4,Female_Bin_Index_5,Female_Bin_Index_6,Female_Bin_Index_7,Female_Bin_Index_8,Female_Bin_Index_9,Female_Bin_Index_10,Female_Bin_Index_11,Female_Bin_Index_12,Female_Bin_Index_13,Female_Bin_Index_14,Female_Bin_Index_15,Female_Bin_Index_16,Female_Bin_Index_17,Female_Bin_Index_18,Female_Bin_Index_19,Female_Bin_Index_20
10,1,BEFORE,INFORMAL,10,11,1,2,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,2,2,0,1,1,0,0,0,0
10,1,AFTER,INFORMAL,5,6,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0
10,1,BEFORE,MARITAL,3,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,1,AFTER,MARITAL,3,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
10,1,AFTER,COMMERCIAL,0,0,0,0,0,0
11,1,BEFORE,TRANSITORY,10,20,1,0,1,3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,3,3,3,0,1,0,0,1,0,0,0,0,3,0,1,0
11,1,AFTER,TRANSITORY,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,2,0,1,0
11,1,BEFORE,INFORMAL,10,14,1,2,0,0,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,2,0,2,2,1,1,0,0,0,0,0
11,1,AFTER,INFORMAL,3,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0
11,1,BEFORE,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,1,AFTER,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
11,1,AFTER,COMMERCIAL,0,0,0,0,0,0
12,1,BEFORE,TRANSITORY,8,13,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,3,0,0,0,0,1,0,0,0,0,2,0,1,0
12,1,AFTER,TRANSITORY,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
12,1,BEFORE,INFORMAL,12,15,1,1,3,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,1,0,2,0,2,2,1,1,0,0,0,0,0
12,1,AFTER,INFORMAL,6,9,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,1,1,0,0,0,0,0
12,1,BEFORE,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,1,AFTER,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
12,1,AFTER,COMMERCIAL,0,0,0,0,0,0
13,1,BEFORE,TRANSITORY,7,13,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0
13,1,AFTER,TRANSITORY,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13,1,BEFORE,INFORMAL,10,19,0,0,1,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,2,0,3,0,2,2,1,1,1,0,1,0,0
13,1,AFTER,INFORMAL,3,12,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,1,1,1,0,1,0,0
13,1,BEFORE,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,1,AFTER,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
13,1,AFTER,COMMERCIAL,0,0,0,0,0,0
14,1,BEFORE,TRANSITORY,9,15,1,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
14,1,AFTER,TRANSITORY,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
14,1,BEFORE,INFORMAL,10,20,1,1,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2,1,3,0,2,3,1,1,1,0,1,0,0
14,1,AFTER,INFORMAL,4,14,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,3,1,1,1,0,1,0,0
14,1,BEFORE,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,1,AFTER,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
14,1,AFTER,COMMERCIAL,0,0,0,0,0,0
15,1,BEFORE,TRANSITORY,9,16,0,1,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,4,2,1,0,1,0,0,0,0,0,0,0,3,1,0,0
15,1,AFTER,TRANSITORY,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0
15,1,BEFORE,INFORMAL,13,25,2,0,1,2,1,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,3,1,1,0,4,0,3,1,2,3,1,1,1,0,1,0,0
15,1,AFTER,INFORMAL,4,16,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,2,3,0,1,1,0,1,0,0
15,1,BEFORE,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,1,AFTER,MARITAL,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
15,1,AFTER,COMMERCIAL,0,0,0,0,0,0
16,1,BEFORE,TRANSITORY,15,17,0,2,0,4,1,2,0,0,2,0,1,0,0,1,0,0,0,2,0,0,3,0,2,2,2,1,2,0,1,0,0,0,0,0,0,0,3,1,0,0
16,1,AFTER,TRANSITORY,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
16,1,BEFORE,INFORMAL,12,28,1,0,2,3,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,3,2,0,5,0,2,1,2,3,0,1,1,0,2,0,0
16,1,AFTER,INFORMAL,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,1,2,3,0,1,1,0,2,0,0
16,1,BEFORE,MARITAL,5,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,1,AFTER,MARITAL,5,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
16,1,AFTER,COMMERCIAL,0,0,0,0,0,0
17,1,BEFORE,TRANSITORY,5,13,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0
17,1,AFTER,TRANSITORY,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
