Time,NodeID,Gender,NumIndividuals,NumInfected,NodeProp=DiscoMatangaStatus
175.481,5,F,0,0,OPEN
175.481,4,M,0,0,OPEN
175.481,4,F,0,0,OPEN
175.481,3,M,0,0,OPEN
175.481,3,F,0,0,OPEN
175.481,2,M,0,0,OPEN
175.481,2,F,0,0,OPEN
175.481,1,M,10110,1035,OPEN
175.481,1,F,10150,1029,OPEN
182.5,11,M,0,0,OPEN
182.5,11,F,0,0,OPEN
182.5,10,M,0,0,OPEN
182.5,10,F,0,0,OPEN
182.5,9,M,0,0,OPEN
182.5,9,F,0,0,OPEN
182.5,8,M,0,0,OPEN
182.5,8,F,0,0,OPEN
182.5,7,M,0,0,OPEN
182.5,7,F,0,0,OPEN
182.5,6,M,0,0,OPEN
182.5,6,F,0,0,OPEN
182.5,5,M,0,0,OPEN
182.5,5,F,0,0,OPEN
182.5,4,M,0,0,OPEN
182.5,4,F,0,0,OPEN
182.5,3,M,0,0,OPEN
182.5,3,F,0,0,OPEN
182.5,2,M,0,0,OPEN
182.5,2,F,0,0,OPEN
182.5,1,M,10119,1037,OPEN
182.5,1,F,10162,1027,OPEN
189.519,11,M,0,0,OPEN
189.519,11,F,0,0,OPEN
189.519,10,M,0,0,OPEN
189.519,10,F,0,0,OPEN
189.519,9,M,0,0,OPEN
189.519,9,F,0,0,OPEN
189.519,8,M,0,0,OPEN
189.519,8,F,0,0,OPEN
189.519,7,M,0,0,OPEN
189.519,7,F,0,0,OPEN
189.519,6,M,0,0,OPEN
189.519,6,F,0,0,OPEN
189.519,5,M,0,0,OPEN
189.519,5,F,0,0,OPEN
189.519,4,M,0,0,OPEN
189.519,4,F,0,0,OPEN
189.519,3,M,0,0,OPEN
189.519,3,F,0,0,OPEN
189.519,2,M,0,0,OPEN
189.519,2,F,0,0,OPEN
189.519,1,M,10124,1039,OPEN
189.519,1,F,10165,1031,OPEN
196.538,11,M,0,0,OPEN
196.538,11,F,0,0,OPEN
196.538,10,M,0,0,OPEN
196.538,10,F,0,0,OPEN
196.538,9,M,0,0,OPEN
196.538,9,F,0,0,OPEN
196.538,8,M,0,0,OPEN
196.538,8,F,0,0,OPEN
196.538,7,M,0,0,OPEN
196.538,7,F,0,0,OPEN
196.538,6,M,0,0,OPEN
196.538,6,F,0,0,OPEN
196.538,5,M,0,0,OPEN
196.538,5,F,0,0,OPEN
196.538,4,M,0,0,OPEN
196.538,4,F,0,0,OPEN
196.538,3,M,0,0,OPEN
196.538,3,F,0,0,OPEN
196.538,2,M,0,0,OPEN
196.538,2,F,0,0,OPEN
196.538,1,M,10130,1042,OPEN
196.538,1,F,10172,1036,OPEN
203.558,11,M,0,0,OPEN
203.558,11,F,0,0,OPEN
203.558,10,M,0,0,OPEN
203.558,10,F,0,0,OPEN
203.558,9,M,0,0,OPEN
203.558,9,F,0,0,OPEN
203.558,8,M,0,0,OPEN
203.558,8,F,0,0,OPEN
203.558,7,M,0,0,OPEN
203.558,7,F,0,0,OPEN
203.558,6,M,0,0,OPEN
203.558,6,F,0,0,OPEN
203.558,5,M,0,0,OPEN
203.558,5,F,0,0,OPEN
203.558,4,M,0,0,OPEN
203.558,4,F,0,0,OPEN
203.558,3,M,0,0,OPEN
203.558,3,F,0,0,OPEN
203.558,2,M,0,0,OPEN
203.558,2,F,0,0,OPEN
203.558,1,M,10140,1046,OPEN
203.558,1,F,10187,1040,OPEN
210.577,11,M,0,0,OPEN
210.577,11,F,0,0,OPEN
210.577,10,M,0,0,OPEN
210.577,10,F,0,0,OPEN
210.577,9,M,0,0,OPEN
210.577,9,F,0,0,OPEN
210.577,8,M,0,0,OPEN
210.577,8,F,0,0,OPEN
210.577,7,M,0,0,OPEN
210.577,7,F,0,0,OPEN
210.577,6,M,0,0,OPEN
210.577,6,F,0,0,OPEN
210.577,5,M,0,0,OPEN
210.577,5,F,0,0,OPEN
210.577,4,M,0,0,OPEN
210.577,4,F,0,0,OPEN
210.577,3,M,0,0,OPEN
210.577,3,F,0,0,OPEN
210.577,2,M,0,0,OPEN
210.577,2,F,0,0,OPEN
210.577,1,M,10148,1042,OPEN
210.577,1,F,10191,1042,OPEN
217.596,11,M,0,0,OPEN
217.596,11,F,0,0,OPEN
217.596,10,M,0,0,OPEN
217.596,10,F,0,0,OPEN
217.596,9,M,0,0,OPEN
217.596,9,F,0,0,OPEN
217.596,8,M,0,0,OPEN
217.596,8,F,0,0,OPEN
217.596,7,M,0,0,OPEN
217.596,7,F,0,0,OPEN
217.596,6,M,0,0,OPEN
217.596,6,F,0,0,OPEN
217.596,5,M,0,0,OPEN
217.596,5,F,0,0,OPEN
217.596,4,M,0,0,OPEN
217.596,4,F,0,0,OPEN
217.596,3,M,0,0,OPEN
217.596,3,F,0,0,OPEN
217.596,2,M,0,0,OPEN
217.596,2,F,0,0,OPEN
217.596,1,M,10151,1041,OPEN
217.596,1,F,10193,1042,OPEN
224.615,11,M,0,0,OPEN
224.615,11,F,0,0,OPEN
224.615,10,M,0,0,OPEN
224.615,10,F,0,0,OPEN
224.615,9,M,0,0,OPEN
224.615,9,F,0,0,OPEN
224.615,8,M,0,0,OPEN
224.615,8,F,0,0,OPEN
224.615,7,M,0,0,OPEN
224.615,7,F,0,0,OPEN
224.615,6,M,0,0,OPEN
224.615,6,F,0,0,OPEN
224.615,5,M,0,0,OPEN
224.615,5,F,0,0,OPEN
224.615,4,M,0,0,OPEN
224.615,4,F,0,0,OPEN
224.615,3,M,0,0,OPEN
224.615,3,F,0,0,OPEN
224.615,2,M,0,0,OPEN
224.615,2,F,0,0,OPEN
224.615,1,M,10161,1044,OPEN
224.615,1,F,10200,1047,OPEN
231.635,11,M,0,0,OPEN
231.635,11,F,0,0,OPEN
231.635,10,M,0,0,OPEN
231.635,10,F,0,0,OPEN
231.635,9,M,0,0,OPEN
231.635,9,F,0,0,OPEN
231.635,8,M,0,0,OPEN
231.635,8,F,0,0,OPEN
231.635,7,M,0,0,OPEN
231.635,7,F,0,0,OPEN
231.635,6,M,0,0,OPEN
231.635,6,F,0,0,OPEN
231.635,5,M,0,0,OPEN
231.635,5,F,0,0,OPEN
231.635,4,M,0,0,OPEN
231.635,4,F,0,0,OPEN
231.635,3,M,0,0,OPEN
231.635,3,F,0,0,OPEN
231.635,2,M,0,0,OPEN
231.635,2,F,0,0,OPEN
231.635,1,M,10160,1042,OPEN
231.635,1,F,10203,1046,OPEN
238.654,11,M,0,0,OPEN
238.654,11,F,0,0,OPEN
238.654,10,M,0,0,OPEN
238.654,10,F,0,0,OPEN
238.654,9,M,0,0,OPEN
238.654,9,F,0,0,OPEN
238.654,8,M,0,0,OPEN
238.654,8,F,0,0,OPEN
238.654,7,M,0,0,OPEN
238.654,7,F,0,0,OPEN
