Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
14,3,1001,1382,0,0,1382,2342,0,106932,104200,52100,492,0,0,0,0,0,136,58,0,15361.3,0.136575,0,0,0,1382,0,0,0,492,0,0,0,0,0,0,0,0,0,0
14,4,1001,1419,0,0,1419,2190,0,106771,99600,49800,479,0,0,0,0,0,161,30,0,15522.3,0.12995,0,0,0,1419,0,0,0,479,0,0,0,0,0,0,0,0,0,0
15,1,999,1170,0,0,1170,2005,0,112256,76800,38400,364,0,0,0,0,0,134,35,0,15553.1,0.144639,0,0,0,1170,0,0,0,364,0,0,0,0,0,0,0,0,0,0
15,2,999,1171,0,0,1171,2090,0,112040,79600,39800,377,0,0,0,0,0,119,35,0,15769.1,0.153129,0,0,0,1171,0,0,0,377,0,0,0,0,0,0,0,0,0,0
15,3,1002,1204,0,0,1204,2129,0,111939,82800,41400,396,0,0,0,0,0,132,46,0,15870.1,0.147421,0,0,0,1204,0,0,0,396,0,0,0,0,0,0,0,0,0,0
15,4,1000,1239,0,0,1239,1990,0,112254,86000,43000,403,0,0,0,0,0,141,39,0,15555.1,0.155846,0,0,0,1239,0,0,0,403,0,0,0,0,0,0,0,0,0,0
16,1,1000,1013,0,0,1013,1813,0,117229,71400,35700,341,0,0,0,0,0,115,45,0,15897.2,0.202515,0,0,0,1013,0,0,0,341,0,0,0,0,0,0,0,0,0,0
16,2,999,1019,0,0,1019,1895,0,117322,70000,35000,335,0,0,0,0,0,116,34,0,15804.2,0.198105,0,0,0,1019,0,0,0,335,0,0,0,0,0,0,0,0,0,0
16,3,1001,1040,0,0,1040,1925,0,117028,72600,36300,346,0,0,0,0,0,121,43,0,16098.2,0.191668,0,0,0,1040,0,0,0,346,0,0,0,0,0,0,0,0,0,0
16,4,1000,1086,0,0,1086,1798,0,117005,77200,38600,368,0,0,0,0,0,112,40,0,16121.2,0.180874,0,0,0,1086,0,0,0,368,0,0,0,0,0,0,0,0,0,0
