Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_IP='Accessibility',B_IP='Accessibility',A_HasIntervention='GoodCircumcision',B_HasIntervention='GoodCircumcision',A_HasIntervention='BadCircumcision',B_HasIntervention='BadCircumcision',A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
37,1960.6,1,3750,249,0,F,10055,13950,MALE,FEMALE,28.6801,23.0934,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3752,235,1,F,10272,8049,MALE,FEMALE,29.136,30.59,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3760,21,1,F,11009,13069,MALE,FEMALE,21.3892,14.7863,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3761,72,1,F,11207,13281,MALE,FEMALE,20.2335,17.1619,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3763,319,0,F,11223,2610,MALE,FEMALE,29.8231,24.6975,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3764,481,1,F,11262,3815,MALE,FEMALE,26.6323,22.1407,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3766,242,0,F,11446,4749,MALE,FEMALE,28.0945,24.0622,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3768,179,1,F,11673,14943,MALE,FEMALE,24.9821,27.2632,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3781,272,1,F,13296,17301,MALE,FEMALE,22.31,21.5371,Yes,Yes,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3782,180,1,F,13315,4955,MALE,FEMALE,28.0379,24.3986,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3783,180,1,F,13315,4955,MALE,FEMALE,28.0379,24.3986,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3784,90,0,F,13733,5262,MALE,FEMALE,27.6082,25.4266,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3786,61,0,F,13901,14829,MALE,FEMALE,22.3504,16.0483,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
