Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
84,340461476,1000,9783,1079,2434,6270,13687,13426,82158,439120,3482,3131,5373,8504,3482,0,0,219560,3482,201,0,0,1279,0,912,351,0,2548,2825,3131,0,0,0,0,0,11576.3,0.0261051,201,217,-16
85,340461476,1000,9811,1083,2469,6259,13683,13561,81981,443360,3480,3095,5410,8505,3480,0,0,221680,3480,219,0,0,1306,0,893,385,0,2555,2855,3095,0,0,0,0,0,11753.5,0.0263625,219,238,-19
86,340461476,1000,9789,1055,2480,6254,13644,13387,82461,439760,3495,3094,5373,8467,3495,0,0,219880,3495,198,0,0,1322,0,943,401,0,2552,2821,3094,0,0,0,0,0,11273.7,0.0265101,198,201,-3
87,340461476,1000,9743,1074,2489,6180,13697,13670,81623,437760,3523,3123,5344,8467,3523,0,0,218880,3523,185,0,0,1276,0,922,400,0,2539,2805,3123,0,0,0,0,0,12111.9,0.0256361,185,178,7
88,340461476,1000,9644,1043,2427,6174,13691,13842,81736,435560,3439,3040,5330,8370,3439,0,0,217780,3439,212,0,0,1274,0,974,399,0,2529,2801,3040,0,0,0,0,0,11999.1,0.027668,212,221,-9
89,340461476,1000,9713,1055,2411,6247,13833,13628,82136,435160,3460,3057,5253,8310,3460,0,0,217580,3460,199,0,0,1403,0,931,403,0,2528,2725,3057,0,0,0,0,0,11599.2,0.0275486,199,187,12
90,340461476,1000,9632,1037,2477,6118,13776,13813,81965,436160,3562,3180,5216,8396,3562,0,0,218080,3562,195,0,0,1236,0,935,382,0,2463,2753,3180,0,0,0,0,0,11770.4,0.0266551,195,215,-20
91,340461476,1000,9751,1029,2476,6246,13829,13656,82113,423200,3343,3008,5358,8366,3343,0,0,211600,3343,195,0,0,1385,0,931,335,0,2487,2871,3008,0,0,0,0,0,11622.5,0.0269863,195,213,-18
92,340461476,1000,9830,1035,2493,6302,13843,13507,82195,429600,3510,3142,5318,8460,3510,0,0,214800,3510,181,0,0,1370,0,923,368,0,2597,2721,3142,0,0,0,0,0,11540.6,0.0274633,181,183,-2
93,340461476,1000,9737,1059,2467,6211,13767,13558,82048,445280,3586,3197,5258,8455,3586,0,0,222640,3586,188,0,0,1282,0,986,389,0,2441,2817,3197,0,0,0,0,0,11687.6,0.0268635,188,174,14
94,340461476,1000,9785,1071,2457,6257,13804,13479,82291,417040,3355,2989,5455,8444,3355,0,0,208520,3355,216,0,0,1341,0,927,366,0,2554,2901,2989,0,0,0,0,0,11444.7,0.0262479,216,219,-3
95,340461476,1000,9815,1094,2447,6274,13722,13493,82005,441000,3527,3157,5325,8482,3527,0,0,220500,3527,181,0,0,1333,0,933,370,0,2623,2702,3157,0,0,0,0,0,11730.8,0.0274428,181,142,39
96,340461476,1000,9887,1071,2485,6331,13653,13597,82025,454640,3602,3235,5314,8549,3602,0,0,227320,3602,207,0,0,1338,0,899,367,0,2450,2864,3235,0,0,0,0,0,11710.9,0.0266004,207,207,0
97,340461476,1000,9874,1086,2482,6306,13681,13621,82196,423080,3425,3076,5515,8591,3425,0,0,211540,3425,191,0,0,1283,0,947,349,0,2592,2923,3076,0,0,0,0,0,11539.9,0.0257585,191,185,6
98,340461476,1000,9869,1122,2433,6314,13745,13453,81968,448080,3534,3151,5437,8588,3534,0,0,224040,3534,188,0,0,1281,0,903,383,0,2648,2789,3151,0,0,0,0,0,11768,0.027276,188,204,-16
99,340461476,1000,9818,1101,2406,6311,13754,13667,81846,452240,3534,3139,5377,8516,3534,0,0,226120,3534,225,0,0,1302,0,958,395,0,2525,2852,3139,0,0,0,0,0,11890,0.0262631,225,249,-24
100,340461476,1000,9821,1088,2390,6343,13769,13657,81905,434560,3451,3070,5422,8492,3451,0,0,217280,3451,183,0,0,1329,0,945,381,0,2587,2835,3070,0,0,0,0,0,11831,0.0262913,183,167,16
101,340461476,1000,9930,1108,2420,6402,13759,13459,82257,450760,3577,3186,5396,8582,3577,0,0,225380,3577,191,0,0,1348,0,848,391,0,2581,2815,3186,0,0,0,0,0,11479.1,0.0272253,191,186,5
102,340461476,1000,9822,1074,2467,6281,13712,13670,81805,446120,3566,3166,5437,8603,3566,0,0,223060,3566,216,0,0,1219,0,927,400,0,2553,2884,3166,0,0,0,0,0,11931.1,0.025466,216,205,11
103,340461476,1000,9934,1088,2482,6364,13788,13461,81978,445200,3430,3071,5488,8559,3430,0,0,222600,3430,192,0,0,1375,0,904,359,0,2627,2861,3071,0,0,0,0,0,11758.1,0.0267441,192,197,-5
104,340461476,1000,9861,1103,2447,6311,13798,13369,82121,449440,3591,3207,5374,8581,3591,0,0,224720,3591,211,0,0,1280,0,969,384,0,2603,2771,3207,0,0,0,0,0,11615.1,0.0264109,211,217,-6
105,340461476,1000,9717,1084,2436,6197,13764,13412,82018,442800,3482,3075,5400,8475,3482,0,0,221400,3482,197,0,0,1242,0,979,407,0,2493,2907,3075,0,0,0,0,0,11718.2,0.0258436,197,197,0
106,340461476,1000,9687,1079,2443,6165,13791,13185,82408,432280,3402,3043,5414,8457,3402,0,0,216140,3402,173,0,0,1230,0,901,359,0,2635,2779,3043,0,0,0,0,0,11328.2,0.0264638,173,138,35
107,340461476,1000,9601,1105,2402,6094,13824,13299,81910,457000,3510,3164,5207,8371,3510,0,0,228500,3510,203,0,0,1230,0,970,346,0,2485,2722,3164,0,0,0,0,0,11826.2,0.0262056,203,211,-8
108,340461476,1000,9644,1113,2390,6141,13819,13469,82144,432400,3392,3022,5350,8372,3392,0,0,216200,3392,189,0,0,1272,0,859,370,0,2481,2869,3022,0,0,0,0,0,11592.2,0.0258779,189,185,4
109,340461476,1000,9666,1125,2349,6192,13750,13465,82103,423080,3358,3002,5349,8351,3358,0,0,211540,3358,183,0,0,1315,0,937,356,0,2628,2721,3002,0,0,0,0,0,11633.2,0.026809,183,187,-4
